wav, nm;  tau[toa:10km];  tau[toa:2km];  tau[toa:0km]
321.8  1.075631e-06  7.839772e-06  1.201531e-05
321.8  1.096997e-06  7.990446e-06  1.224426e-05
321.9  1.119048e-06  8.145096e-06  1.247908e-05
321.9  1.141177e-06  8.301690e-06  1.271724e-05
321.9  1.163260e-06  8.459933e-06  1.295847e-05
322.0  1.186540e-06  8.622786e-06  1.320571e-05
322.0  1.209697e-06  8.789779e-06  1.345967e-05
322.0  1.234127e-06  8.958953e-06  1.371636e-05
322.1  1.258558e-06  9.128513e-06  1.397521e-05
322.1  1.282835e-06  9.302928e-06  1.424064e-05
322.1  1.308356e-06  9.480303e-06  1.450904e-05
322.2  1.334965e-06  9.666135e-06  1.479059e-05
322.2  1.360332e-06  9.849006e-06  1.506918e-05
322.3  1.388185e-06  1.003844e-05  1.535731e-05
